papirus-icon-theme 20181007-1
papirus-maia-icon-theme 20181011-1
parted 3.2-7
patch 2.7.6-3
patchutils 0.3.4-3
pavucontrol-qt 0.4.0-1
pciutils 3.6.1-1
pcmanfm-qt 0.13.0-1
pcre 8.42-1
pcre2 10.32-1
pcsclite 1.8.24-1
perl 5.28.0-1
perl-clone 0.41-1
perl-dbi 1.642-1
perl-encode-locale 1.05-4
perl-error 0.17027-1
perl-file-listing 6.04-5
perl-html-parser 3.72-6
perl-html-tagset 3.20-7
perl-http-cookies 6.04-3
perl-http-daemon 6.01-6
perl-http-date 6.02-5
perl-http-message 6.18-2
perl-http-negotiate 6.01-5
perl-io-html 1.001-4
perl-libwww 6.36-1
perl-lwp-mediatypes 6.02-5
perl-mailtools 2.20-2
perl-net-http 6.18-2
perl-parse-yapp 1.05-9
perl-timedate 2.30-5
perl-try-tiny 0.30-2
perl-uri 1.74-2
perl-www-robotrules 6.02-5
perl-xml-libxml 2.0132-2
perl-xml-namespacesupport 1.12-2
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
phodav 2.2-2
phonon-qt5 4.10.1-2
phonon-qt5-gstreamer 4.9.0-5
php 7.2.12-1
pinentry 1.1.0-4
pinta 1.6-2
pixman 0.34.0-1
pkcs11-helper 1.25.1-1
pkgconf 1.5.4-1
polkit 0.114-1.1
polkit-qt5 0.112.0+git20180107-2
poppler 0.71.0-1
poppler-data 0.4.9-1
poppler-qt5 0.71.0-1
popt 1.16-9
potrace 1.15-1
powertop 2.9-1
ppl 1.2-2
ppp 2.4.7-4
pptpclient 1.10.0-1
procps-ng 3.3.15-1.2
protobuf 3.6.1-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
pulseaudio-bluetooth 12.2-2
pulseaudio-ctl 1.66-1
pulseaudio-zeroconf 12.2-2
pyalpm 0.8.4-2
pygobject-devel 3.30.1-3
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.11.3-1
pyrex 0.9.9-5
python 3.7.1-1
python-appdirs 1.4.3-2
python-cairo 1.17.0-2
python-chardet 3.0.4-2
python-dateutil 2.7.5-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-docopt 0.6.2-5
python-feedparser 5.2.1-3
python-gobject 3.30.1-3
python-idna 2.7-3
python-jedi 0.13.1-1
python-keyutils 0.5-3
python-npyscreen 4.10.5-2
python-packaging 18.0-1
python-parso 0.3.1-2
python-pycups 1.9.74-1
python-pycurl 7.43.0.2-2
python-pygments 2.2.0-2
python-pyparsing 2.2.2-1
python-pyqt5 5.11.3-1
python-regex 2018.11.03-1
python-requests 2.20.0-1
python-setuptools 1:40.5.0-1
python-sgmllib 5.2.1-3
python-sip-pyqt5 4.19.13-1
python-six 1.11.0-3
python-urllib3 1.24-1
python-yaml 3.13-2
python2 2.7.15-2
python2-cairo 1.17.0-2
python2-gobject 3.30.1-3
python2-gobject2 2.28.7-2
qemu 3.0.0-3
qgpgme 1.12.0-1
qpdf 8.2.1-1
